Name,URL,Income,Pages,Size,404,500,Robots
BAINBRIDGE ISLAND PARKS FOUNDATION,www.biparksfoundation.org,15259.0,0,0,0,0,False
RAINIER HISTORICAL SOCIETY,www.rainierhistoricalsociety.org,26684.0,0,0,0,0,False
LEMAY-AMERICAS CAR MUSEUM,www.lemaymuseum.org,11817399.0,9,20010,2,0,False
HISTORY INK,www.historyink.com,506695.0,0,0,0,0,False
SEATTLE METROPOLITAN POLICE MUSEUM,www.seametropolicemuseum.org,93845.0,43,12873808,1,0,True
CELTIC ARTS FOUNDATION,celticarts.org,480406.0,0,0,0,0,False
ELLENSBURG RODEO HALL OF FAME ASSOCIATION,ellensburgrodeo.com,92711.0,0,0,0,0,False
THE AMERICAN MUSEUM OF RADIO AND ELECTRICITY,amre.us,158321.0,3,1287,1,0,False
OLYMPIC FLIGHT MUSEUM,www.olympicflightmuseum.com,220519.0,128,12887780,1,0,True
NORTHWEST MARITIME CENTER,www.nwmaritime.org,3759147.0,1318,192149117,26,0,True
MOUNT ST HELENS CREATION INFORMATION CENTER,www.7wondersmuseum.org,37793.0,3,1542,2,0,False
DR JAMES W WASHINGTON JR AND MRS JANIE ROGGUA WASHINGTON FOU,www.jameswashington.org,142404.0,0,0,0,0,False
BATTLE GROUND YACOLT AND CHELATCHIE PRAIRIE RAILROAD,www.bycx.com,139350.0,0,0,0,0,False
MCALLISTER MUSEUM OF AVIATION,www.mcallistermuseum.org,295080.0,207,6540142,2,0,False
ENVIRONMENTAL SCIENCE CENTER,envsciencecenter.org,206153.0,0,0,0,0,False
SQUAXIN ISLAND MUSEUM LIBRAY AND RESEARCH CENTER INC,www.squaxinisland.org,1200470.0,415,2089510,8,0,True
CHILDRENS MUSEUM OF SKAGIT COUNTY,www.skagitchildrensmuseum.net,537721.0,3245,66437257,47,0,True
PORT TOWNSEND AERO MUSEUM,www.ptaeromuseum.com,1036138.0,0,0,0,0,False
LEAVENWORTH NUTCRACKER MUSEUM,www.nutcrackermuseum.com,153679.0,379,45679828,1,0,False
BURKE MUSEUM ASSOCIATION,www.burkemuseum.org,1112670.0,406629,6436323341,235,0,True
DENSHO,www.densho.org,943743.0,4428,173901135,613,0,True
JEFFERSON COUNTY HISTORICAL SOCIETY,www.jchsmuseum.org,283404.0,318,24728776,4,0,False
CHELAN COUNTY HISTORICAL SOCIETY,www.cashmeremuseum.org,113167.0,52,6543230,3,0,False
PUGET SOUND MARITIME HISTORICAL SOCIETY INC,www.pugetmaritime.org,115421.0,229,145107064,3,0,False
THE BELLEVUE ART MUSEUM,www.bellevuearts.org,3260576.0,3419,175648767,30,0,False
KITTITAS COUNTY HISTORICAL SOCIETY INC,www.kchm.org,124568.0,130,7255026,16,0,False
CLALLAM COUNTY HISTORICAL SOCIETY,www.clallamhistoricalsociety.com,85742.0,0,0,0,0,False
ORCAS ISLAND HISTORICAL SOCIETY,www.orcasmuseum.org,108371.0,3,1653,0,0,False
CLARK COUNTY HISTORICAL SOCIETY,www.cchmuseum.org,200356.0,2676,976142261,962,1,True
STILLAGUAMISH VALLEY PIONEERS ASSN OF WASHINGTON PIONEERS OF,www.stillymuseum.org,99667.0,68,1469538,1,0,True
